Skill,Title,Company,Experience,Salary,Location,JD URL,Full JD,Job ID,Required Skills
Python,"Software Developer (Python, PySpark, AWS)",Sopra Steria,3-8 Yrs,Not disclosed,Bengaluru,/job-listings-software-developer-python-pyspark-aws-sopra-steria-bengaluru-3-to-8-years-300525500910,"Practice and demonstrate Airbus Values . Well versed with developing,testing,documenting,publishing,maintaining and operating reliable and secure web applicationsMust to Have Skills:-Experience with Foundry (Slate,Workbook etc.)",300525500910,"Computer science,Prototype,Publishing,GIT,Data modeling,test driven development,Unit testing,Information technology"
Python,Python Software Developer / Data Engineer,CGI,5-7 Yrs,Not disclosed,Hybrid - Bengaluru,/job-listings-python-software-developer-data-engineer-cgi-bengaluru-5-to-7-years-190525013270,"Preferred candidate profile .Overall 5-7 years of Software Development Experience in python in delivery of IT Projects and specifically in the area of Data Systems / BISolution Architecture experience in the areas of Data Analytics,Integration and reporting (Specifically implementations using Open Source Tools (Python) / Big Data Distribution,Experience: 5 Years",190525013270,"RDBMS,Pandas,Oracle,Python,SQL,Numpy,Software,Data"
Python,"Software Developer, C++, Python, Linux",IBM,3-6 Yrs,Not disclosed,Pune,/job-listings-software-developer-c-python-linux-ibm-india-pvt-limited-pune-3-to-6-years-290525924852,"Bachelors Degree .Required educationPreferred educationRequired technical and professional expertise . 5+ years of extensive experience in C++,Perl,and Python,specializing in developing enterprise-grade backend systemsPreferred technical and professional experience .Proven experience with multi-threading,socket programming,and LDAP directory services",290525924852,"gdb,database design,postgresql,debugging,shell scripting,schema,kubernetes,python"
Python,Lead Software Engineer/Sr Software Engineer- Data Engineer - Python,CGI,N/A,Not disclosed,Hyderabad,/job-listings-lead-software-engineer-sr-software-engineer-data-engineer-python-cgi-information-systems-and-management-consultants-private-limited-hyderabad-6-to-8-years-300525931767,"Bachelors or Masters degree in Computer Science,Information Systems,or a related field.Required qualifications to be successful in this role: Minimum 6 years of experience as a Data Engineer or similar roleKnowledge of cloud services (AWS,GCP,or Azure) is preferredPreferred Skills: Experience with containerization (Docker,Kubernetes)",300525931767,"Data Engineering,Azure,Docker,GCP,HDFS,Python Spark,MongoDB,HFDS"
Python,Cybage Software is hiring Sr. Python Developers,Cybage,6-11 Yrs,Not disclosed,Pune,/job-listings-cybage-software-is-hiring-sr-python-developers-cybage-pune-6-to-11-years-250425005084,"Minimum 7 years of work experience using advanced Python Programming language & microservicesWell versed with developing REST APIs and Services using at least one Python web framework (Django,Flask,FastAPI)Good knowledge of version controls like Git,Github & SVNGood to have knowledge of Devops tools (like Docker & GKE) and third-party tools like Airflow,Elastic Search,etc",250425005084,"Python Developer,Python,Django Rest Api,Django,Rest Api Development,Django Framework,API,Python Development"
Python,Senior Data Engineer - Python,Relanto Global,4-9 Yrs,5-15 Lacs PA,"Hyderabad, Pune, Bengaluru",/job-listings-senior-data-engineer-python-relanto-global-hyderabad-pune-bengaluru-4-to-9-years-300525019366,". Bachelors or master s degree in computer science,Information Technology,Data Science,or a related fieldExperience with databases such as MongoDB,Elasticsearch,and MySQLMust have minimum 4 years of relevant experienceProficient in Python with hands-on experience building ETL pipelines for data extraction,transformation,and validation",300525019366,"python,Elastic,Data engineer,SQL,MongoDB,ETL,Data Engineering,Senior"
Python,Senior Python Developer,MSCI Services,3-6 Yrs,Not disclosed,Pune,/job-listings-senior-python-developer-msci-services-pune-3-to-6-years-280525030583,"MSCI,Pride & Allies,Women in Tech,and Women s Leadership Forum. At MSCI we are passionate about what we do,and we are inspired by our purpose to power better investment decisionsThe candidate should have excellent problem solving and debugging skills.Please note,this e-mail is intended only for individuals who are requesting a reasonable workplace accommodation",280525030583,"algorithms,enterprise software,data,software design,interpersonal skills,pyspark,research,sql"
Python,"Senior Developer (Python, Java, and IBM DataStage)",Synechron,6-11 Yrs,Not disclosed,Pune,/job-listings-senior-developer-python-java-and-ibm-datastage-synechron-technologies-pvt-ltd-pune-6-to-11-years-270525928942,"**Job Summary**Synechron is seeking an experienced Lead Python with Java Developer to join our team. This critical role is designed to drive the development and integration of robust software solutions that bolster our business objectives. The successful candidate will leverage their expertise in Python, Java, and data management technologies to deliver high-quality applications and contribute to strategic projects within the organization.**Software Requirements*****Required:*** Proficiency in Python and Java* Experience with ETL tools, specifically IBM DataStage***Preferred:*** Familiarity with SQL, BigData, PySpark, and Hive**Overall Responsibilities*** Lead the design, development, and maintenance of scalable software applications using Python and Java.* Oversee the integration of ETL processes using IBM DataStage.* Collaborate with cross-functional teams to define software requirements and deliver solutions that meet business needs.* Ensure the performance, quality, and responsiveness of applications through rigorous testing and optimization.* Mentor and guide junior developers, setting best practices and coding standards.**Technical Skills (By Category)*****Programming Languages:*****Required:** Python, Java***Databases/Data Management:*****Preferred:** SQL, BigData, Hive***Frameworks and Libraries:*****Preferred:** PySpark***Development Tools and Methodologies:*****Required:** IBM DataStage***Security Protocols:*****Preferred:** Understanding of data security measures in application development**Experience Requirements*** Minimum 6+ years of experience in software development roles.* Proven experience in developing applications using Python and Java.* Experience in the financial services industry is preferred but not mandatory.* Alternative pathways include significant project-based experience in software development and data management.**Day-to-Day Activities*** Develop and maintain high-quality, testable code in Python and Java.* Conduct regular code reviews and ensure adherence to best practices.* Collaborate with stakeholders to gather requirements and define project scope.* Participate in regular team meetings and contribute to project planning sessions.* Provide technical leadership and decision-making for software development projects.**Qualifications*** RequiredBachelor’s degree in Computer Science, Information Technology, or a related field.* PreferredCertifications in relevant programming languages or ETL tools.* Commitment to continuous professional development and staying current with industry trends.**Professional Competencies*** Strong critical thinking and problem-solving capabilities.* Demonstrated leadership and teamwork abilities.* Excellent communication and stakeholder management skills.* Adaptability and a continuous learning orientation.* Innovative mindset and ability to manage time and priorities effectively.__",270525928942,"python,data management,java,stakeholder management,protocols,hive,software development,technical leadership"
Python,"Full Stack Python Developer (Cloud, Mobile, IoT & Agile Expertise)",Synechron,5-10 Yrs,Not disclosed,Pune,/job-listings-full-stack-python-developer-cloud-mobile-iot-agile-expertise-synechron-technologies-pvt-ltd-pune-5-to-10-years-270525928974,"Cloud Technologies: Hands-on experience deploying and managing applications on AWS,Azure,or GCPProven experience developing scalable web and mobile applications using modern frameworks and architecturesBachelor s or Master s degree in Computer Science,Information Technology,or a related fieldPreferred: Node.js,TypeScript",270525928974,"python,backend development,relational databases,javascript,javascript frameworks,continuous integration,kubernetes,software development"
Python,Senior Python Developer (Django/Flask),Synechron,5-9 Yrs,Not disclosed,Pune,/job-listings-senior-python-developer-django-flask-synechron-technologies-pvt-ltd-pune-5-to-9-years-270525928911,"Bachelor s degree in Computer Science,Information Technology,or related field (or equivalent experience)ORM (Object-Relational Mapping)Proficient knowledge .Experience Requirements .Minimum of 7 years of experience in software development,specifically with PythonPythonAdvanced level,with experience in software development",270525928911,"agile methodology,software development,orm,flask,python framework,css,data management,dbms"
Python,"Analyst-Data Analytics (Python, SQL)",AMERICAN EXPRESS,0-4 Yrs,Not disclosed,Gurugram,/job-listings-analyst-data-analytics-python-sql-american-express-india-gurugram-0-to-4-years-300525501680,. Strong programming skills are preferredWillingness to challenge the status quoExperience with Big Data programming is a plus,300525501680,"Computer science,Career development,Automation,Finance,Programming,Wellness,Data analytics,Customer engagement"
Python,Python Software Developer- Pune (Pan India Infosys),Infosys,2-7 Yrs,Not disclosed,"Hybrid - Hyderabad, Chennai, Bengaluru",/job-listings-python-software-developer-pune-pan-india-infosys-infosys-hyderabad-chennai-bengaluru-2-to-7-years-210325022858,"Exciting Python developer Job Opportunity at Infosys!We are looking for skilled Python Developer to join our dynamic team **PAN INDIA.** If you have a passion for technology and a minimum of 2 years to 6 years of hands-on experience in python application development, this is your chance to make an impact.At Infosys, we value innovation, collaboration, and diversity. We believe that a diverse workforce drives creativity and fosters a richer company culture. Therefore, we strongly encourage applications from all genders and backgrounds.Ready to take your career to the next level? Join us in shaping the future of technology. Visit our careers page for more details on how to apply.",210325022858,"Python,Django,Flask,Software development,Pan,Software,Development"
Python,Software Engineer III Python React Devops,JPMorgan Chase Bank,0-6 Yrs,Not disclosed,Hyderabad,/job-listings-software-engineer-iii-python-react-devops-jp-morgan-chase-hyderabad-0-to-6-years-300525500095,"Formal training or certification on software engineering and site reliability concepts and 3+ years applied experience. . Proficient in at least one programming language such as Python,Reactjs and SALT.Experience in developing,debugging,and maintaining code in a large corporate environment with one or more modern programming languages and database querying languages.",300525500095,"System architecture,orchestration,Coding,Artificial Intelligence,Debugging,Agile,splunk,Troubleshooting"
Python,Python Developer - Pan India,Infosys,3-8 Yrs,Not disclosed,"Hyderabad, Chennai, Bengaluru",/job-listings-python-developer-pan-india-infosys-hyderabad-chennai-bengaluru-3-to-8-years-050325025072,Hiring for Python Developer with experience range 2 years & aboveMandatory Skills: PythonEducation: BE/B.Tech/MCA/M.Tech/MSc./MSInterview Mode-F2F,050325025072,"Python Framework,Python Development,Django,Pan,Python,Framework,Development"
Python,Python Developer - PAN INDIA,Infosys,3-8 Yrs,Not disclosed,"Hyderabad, Chennai, Bengaluru",/job-listings-python-developer-pan-india-infosys-hyderabad-chennai-bengaluru-3-to-8-years-130525025015,Hiring for Python Developer with experience range 2 years & aboveMandatory Skills: PythonEducation: BE/B.Tech/MCA/M.Tech/MSc./MSInterview Mode-F2F,130525025015,"Python Development,Python,Django,Pan,Development"
Python,Python Software Developer,Hexaware Technologies,4-9 Yrs,Not disclosed,"Hybrid - Pune, Chennai, Mumbai (All Areas)",/job-listings-python-software-developer-hexaware-technologies-pune-chennai-mumbai-all-areas-4-to-9-years-130225014528,"Candidate should have a deep understanding of Python framework,RESTful principles,and modern software development practicesStrong proficiency in Python and experience with framework like Flask,Django,or FastAPI.Experience with database integration (SQL / NoSQL).",130225014528,"Python,Django,Tornado,FastAPI,Rest Api Services,Flask,SQL,Software development"
Python,Python Software Developer,Shyena Tech Yarns,2-4 Yrs,Not disclosed,"Pune, Bengaluru",/job-listings-python-software-developer-shyena-tech-yarns-pune-bengaluru-2-to-4-years-290525036760,"Hands on experience in developing using AWS Services for now target S2,Redshift,Athena,Glue,Lambda etcGood problem solving and troubleshooting skillsSkills: Python + Flask+Fast API. Must HaveThorough Python web development experience",290525036760,"API,Python,Django,Numpy,Scikit-Learn,Flask,Software,Software development"
Python,Senior Data Engineer/Python Developer,Luxoft,7-12 Yrs,Not disclosed,Bengaluru,/job-listings-senior-data-engineer-python-developer-luxoft-india-llp-bengaluru-7-to-12-years-190525913281,"EducationTypically,a Bachelors degree in Computer Science (preferably MSc in Computer Science),Software Engineering,or a related field is requiredHands on experience working with APIs . Kafka / Azure EventHub streaming hands on experience .",190525913281,"sql,python,airflow,microsoft azure,data bricks,redis,unix scripting,apache"
Python,"Software Developer: C++, Python, Linux",IBM,3-6 Yrs,Not disclosed,Pune,/job-listings-software-developer-c-python-linux-ibm-india-pvt-limited-pune-3-to-6-years-230525922565,"Bachelors Degree .Required educationPreferred educationRequired technical and professional expertise . 5 + years of extensive experience in C++,Perl,and Python,specializing in developing enterprise-grade backend systemsPreferred technical and professional experience .Proven experience with multi-threading,socket programming,and LDAP directory services",230525922565,"gdb,database design,postgresql,debugging,shell scripting,schema,kubernetes,python"
Python,Senior Python Developer - With AI/ML,BMC Software,8-13 Yrs,Not disclosed,Hybrid - Pune,/job-listings-senior-python-developer-with-ai-ml-bmc-software-india-pvt-ltd-pune-8-to-13-years-270525938404,"BMC is looking for a talented Java Product Developer to join our family working on complex and distributed software, developing, and debugging software products, implementing features, and assisting the firm in assuring product quality.__**_Here is how, through this exciting role, YOU will contribute to BMC's and your own success:_**Contribute to be a member of the Development team responsible for developing and debugging of software products.Work on complex problems where analysis of situations or data requires an in-depth evaluation of several factors.Work across product lines with interaction of other BMC productsIndependently design and implement features that address customer needs with a sense of ownership within given timelinesAs every BMC employee, you will be given the opportunity to learn, be included in global projects, challenge yourself and be the innovator when it comes to solving everyday problems.**_To ensure youre set up for success, you will bring the following skillset & experience:_*** Design and develop platform solution based on best practices and web standards.* Participate in all aspects of product development, from requirements analysis to product release.* Lead features and participate in architecture and design reviews.* Design enterprise platform using agile methodology. This includes creating detailed design using UML, process flows, sequence diagrams, and pseudo-code level details ensuring solution alignment.* You have strong diagnostics, debugging, and troubleshooting skills.* Ability to work flexible hours and stay up to date with competing technologies and passionate about adapting technology to provide business-benefiting solutions balancing with platform limitations.* Provides complete documentation in the form of commented code, problem status information, and design documents.* Work on complex problems where analysis of situations or data requires an in-depth evaluation of several factors.* Self-learner, flexible and able to work in a multi-tasked and dynamic environment.* Excellent communication skills: demonstrated ability to explain complex technical concepts to both technical and non-technical audiences.**To ensure youre set up for success, you will bring the following skillset & experience**: You have 8+ years of experience with application development using Python, Java, RESTful services, high-performance, and multi-threading.* Familiarization with DevOps tools and concepts such as Infrastructure as code, Jenkins, Ansible, and Terraform.* You have experience in a Web based environment utilizing React, Angular, server-side rendering, HTML, CSS, JavaScript and TypeScript.* You have knowledge and experience with build tools such as Gradle and Maven.* Familiarity with cloud platforms (e.g., OCP, AWS, Azure, GCP).* You are familiar with modern version control system such as Git.* Strong knowledge of statistical analysis, data mining, and machine learning techniques.* Experience with machine learning frameworks and libraries (e.g., scikit-learn, TensorFlow, PyTorch).* Knowledge of SQL for data manipulation* Great communication skills, ability to explain predictive analytics to non-technical audience.* Proficiency in data exploration techniques and toolsWhilst these are nice to have, our team can help you develop in the following skills which are good to have :CI/CD (Jenkins) environment with popular DevOps toolsExperience with Agile methodology, use of Atlassian products Jira, Confluence )CA-DNP",270525938404,"Python,TypeScript,Azure,CSS,GCP,JavaScript,HTML,OCP"
Python,"DE&A - Core - Data Engineer (Snowflake, Python, AWS) DE&A - Core",Zensar,5-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",/job-listings-de-a-core-data-engineer-snowflake-python-aws-de-a-core-zensar-technologies-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-5-to-8-years-270525501411,"Experience with AWS services like S3,Lambda,Glue,Redshift,and Step Functions . . Hands-on experience with ETL / ELT tools and data pipeline orchestrationCertification in AWS,Snowflake,or Python is a plus. Job Title: Data Engineer (Snowflake,Python,AWS) .Certification in AWS,Snowflake,or Python is a plus.Preferred Qualifications: .",270525501411,"Automation,query optimization,Data modeling,data security,Analytical,Machine learning,Data processing,Data quality"
Python,Senior Python Developer - With AI/ML,BMC Software,8-13 Yrs,Not disclosed,Pune,/job-listings-senior-python-developer-with-ai-ml-bmc-software-india-pvt-ltd-pune-8-to-13-years-270525936916,". You have 8+ years of experience with application development using Python,Java,RESTful services,high-performance,and multi-threadingExperience with machine learning frameworks and libraries (e.g.,scikit-learn,TensorFlow,PyTorch)",270525936916,"Python,Java,DevOps,CSS,Artificial Intelligence,JavaScript,HTML,React"
Python,python developer,Xoriant,4-9 Yrs,Not disclosed,"Hybrid - Mumbai, Pune, Bengaluru",/job-listings-python-developer-xoriant-mumbai-pune-bengaluru-4-to-9-years-290525032392,"**Qualifications****Mumbai****Primary Responsibilities**The developer will be working within a machine learning team/squad. The team is working on developing Artificial Intelligence solutions including ML and Gen AI. The candidate should be familiar with python development and prompt engineering. The candidate should be able to work with different Clients/SMEs and understand the business requirements for prompt engineering and proper python code development. Experience with Open AI and different LLM models, conduct testing and performance evaluation is required. Good candidate should be familiar with ongoing monitoring.* Contribute to development and maintenance of the python library.* Contribute to the support of the library.* Participate in prompt engineering.* Maintain the prompts and keep them up to date with the new LLM versions* Conduct regular testing and performance analysis.* Participate in prompt benchmarking experiments.**Skills Required**\- Bachelors in computer science or related field\- Years of experience: 5+\- Hands-on experience in building python applications\- Excellent prompt engineering skills\- Excellent Python development skills\- Knowledge of design patterns, system resiliency, observability, scalability and performance\- Experience of Agile development\- Strong analytical skills and passion for problem-solving\- Good communication skills**Skills Desired**\- Experience with machine learning, vector databases\- Cloud-based application development preferably using Microsoft Azure Cloud\- Prior experience in FinTech application development\- Exposure to working in a global delivery team",290525032392,"GEN AI,Azure Cloud,Machine Learning,Python Development,Machine,Gen,Microsoft Azure,Artificial Intelligence"
Python,"Lead Data Analytics Engineer - Power BI, Snowflake, SQL, Python",Avalara India,8-13 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",/job-listings-lead-data-analytics-engineer-power-bi-snowflake-sql-python-avalara-india-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-8-to-13-years-300525503243,"Bachelors Engineering degree in Computer Science or a related fieldYou have deep SQL experience,an understanding of modern data stacks and technology,experience with data and all things data-related,and experience guiding a team through technical and design challengesExpert level experience in PowerBI,SQL and Snowflake .",300525503243,"Computer science,data science,Data modeling,Wellness,Data quality,Operations,Analytics,SQL"
Python,Python Developer,Total Shape,1-4 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",/job-listings-python-developer-total-shape-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-1-to-4-years-280525501795,"Location: Work From Home (Remote) . Salary: $1,200 - $1,500 USD / monthSolid experience in Python development .Experience working with APIs and data structures .",280525501795,"Backend,Automation,Front end,Web technologies,Social media,Django,Data structures,Troubleshooting"
Python,Apptware Solutions Senior Full Stack Developer Python/React.js,Apptware,5-7 Yrs,Not disclosed,Pune,/job-listings-apptware-solutions-senior-full-stack-developer-python-react-js-apptware-solutions-llp-pune-5-to-7-years-270525935266,Preferred SkillsExperience :5+ years,270525935266,"continuous integration,python,ci/cd,aws cognito,react.js,dynamo db,web application,unit testing"
Python,Senior Backend Developer - Python Programming,Sekel Tech,5-7 Yrs,Not disclosed,Pune,/job-listings-senior-backend-developer-python-programming-sekel-tech-pune-5-to-7-years-270525934006,"Bachelors degree in Computer Science,Engineering,Information Technology,or a related fieldWe are seeking a talented and experienced Backend Developer with strong proficiency in Python,Django,and AWS to join our growing team",270525934006,"Python,RESTful API,Django,MySQL,FastAPI,Server Side Component,ORM,Backend Architecture"
Python,Senior Python Developer - With AI/ML,BMC Software,8-13 Yrs,Not disclosed,Pune,/job-listings-senior-python-developer-with-ai-ml-bmc-software-india-pvt-ltd-pune-8-to-13-years-270525931538,". You have 8+ years of experience with application development using Python,Java,RESTful services,high-performance,and multi-threadingExperience with machine learning frameworks and libraries (e.g.,scikit-learn,TensorFlow,PyTorch)",270525931538,"Python,Java,CSS,Azure,data mining,SOLID principles,HTML,machine learning techniques"
Python,Python AWS Full Stack developer,Shashwath Solution,5-8 Yrs,Not disclosed,"Pune, Bengaluru",/job-listings-python-aws-full-stack-developer-shashwath-solution-pune-bengaluru-5-to-8-years-290525917920,"Python,AWS,DynamoDB,Opensearch Terraform (Good to have),ReactJS,Javascript,Typescript,HTML,CSS,Agile,Git,CI CD,Docker,Linux (Good to have),Good to have knowledge of ADAS Automative Good to have AWS certificationPREFERRED SKILLSGood to have knowledge of ADAS Automative. Should have hands-on AWS experience or Migration with AWS Knowledge and cloud-based applications and pipelines",290525917920,"Python,CSS,DynamoDB,Opensearch Terraform,HTML,CI CD,ADAS,Automative"
Python,Sr. Python Developer - AI/ML Skills,BMC Software,8-13 Yrs,Not disclosed,Pune,/job-listings-sr-python-developer-ai-ml-skills-bmc-software-india-pvt-ltd-pune-8-to-13-years-270525936914,"You have knowledge and experience with build tools such as Gradle and MavenYou have experience in a Web based environment utilizing React,Angular,server-side rendering,HTML,CSS,JavaScript and TypeScriptExperience with machine learning frameworks and libraries (e.g.,scikit-learn,TensorFlow,PyTorch)Experience with Agile methodology,use of Atlassian products Jira,Confluence)",270525936914,"Python,Java,CSS,PyTorch,scikit-learn,Artificial Intelligence,JavaScript,Fast API"
SQL,SQL Developer (Freelance),Soul Ai,4-8 Yrs,Not disclosed,Pune,/job-listings-sql-developer-freelance-soul-ai-pune-4-to-8-years-300525926072,"Designing database schemas. Proficient in working with relational database management systems like MySQL,PostgreSQL,or SQL Server. Why Join Us.1+ year of SQL development experience.",300525926072,"sql development,sql queries,database performance tuning,relational database management system,sql,schema,oracle,performance tuning"
SQL,SQL Developer (Freelance),Soul Ai,4-8 Yrs,Not disclosed,Bengaluru,/job-listings-sql-developer-freelance-soul-ai-bengaluru-4-to-8-years-300525926066,"Designing database schemas. Proficient in working with relational database management systems like MySQL,PostgreSQL,or SQL Server. Why Join Us.1+ year of SQL development experience.",300525926066,"sql development,sql queries,database performance tuning,relational database management system,sql,schema,oracle,performance tuning"
SQL,SQL Developer (Freelance),Soul Ai,4-8 Yrs,Not disclosed,Hyderabad,/job-listings-sql-developer-freelance-soul-ai-hyderabad-4-to-8-years-300525926063,"Designing database schemas. Proficient in working with relational database management systems like MySQL,PostgreSQL,or SQL Server. Why Join Us.1+ year of SQL development experience.",300525926063,"sql development,sql queries,database performance tuning,relational database management system,sql,schema,oracle,performance tuning"
SQL,SQL Developer (Freelance),Soul Ai,4-8 Yrs,Not disclosed,Chennai,/job-listings-sql-developer-freelance-soul-ai-chennai-4-to-8-years-300525926043,"Designing database schemas. Proficient in working with relational database management systems like MySQL,PostgreSQL,or SQL Server. Why Join Us.1+ year of SQL development experience.",300525926043,"sql development,sql queries,database performance tuning,relational database management system,sql,schema,oracle,performance tuning"
SQL,SQL Developer (Freelance),Soul Ai,4-8 Yrs,Not disclosed,Mumbai,/job-listings-sql-developer-freelance-soul-ai-mumbai-4-to-8-years-300525926003,"Designing database schemas. Proficient in working with relational database management systems like MySQL,PostgreSQL,or SQL Server. Why Join Us.1+ year of SQL development experience.",300525926003,"sql development,sql queries,database performance tuning,relational database management system,sql,schema,oracle,performance tuning"
SQL,SQL Developer (Freelance),Soul Ai,4-8 Yrs,Not disclosed,Kolkata,/job-listings-sql-developer-freelance-soul-ai-kolkata-4-to-8-years-300525925968,"Designing database schemas. Proficient in working with relational database management systems like MySQL,PostgreSQL,or SQL Server. Why Join Us.1+ year of SQL development experience.",300525925968,"sql development,sql queries,database performance tuning,relational database management system,sql,schema,oracle,performance tuning"
SQL,SQL Developer,Infosys BPM,2-5 Yrs,Not disclosed,Bengaluru,/job-listings-sql-developer-infosys-bpm-bengaluru-2-to-5-years-300525021013,"Preferred Qualifications: . Bachelors degree in Computer Science,Information Technology,or a related fieldExperience Required: 2 to 5 yearsNotice Period: Immediate joiners preferredRequired Skills: . 2 to 5 years of hands-on experience in SQL developmentThe ideal candidate will have strong experience in SQL development and a passion for working with data",300525021013,"SQL Development,SQL Coding,Sql Joins,SQL Queries,SQL Scripting,Coding,Join,SQL"
SQL,Oracle PL/SQL Developer,Godigi Infotech,0-1 Yrs,Not disclosed,"Mumbai, Hyderabad, Pune, Bengaluru",/job-listings-oracle-pl-sql-developer-godigi-infotech-mumbai-hyderabad-pune-bengaluru-0-to-1-years-191023500125,Preferred keyskills . PLSQL,191023500125,"IT services,Oracle Apps,Software QA,Backend,Oracle SQL,Consulting,Data processing,PLSQL"
